,City,Median_Home_Price,Latitude,Longitude
0,Del Rey Oaks,652483.0,36.5932934,-121.8349515
1,San Diego,652175.0,32.7174209,-117.1627714
2,Wilton,650138.0,38.4203098,-121.20636694174857
3,Windsor,644473.0,38.5471327,-122.8163802
4,Garden Grove,643528.0,33.7746292,-117.9463717
5,Alpine,642442.0,38.5893934,-119.8345013
6,Newcastle,638874.0,38.8740658,-121.1332806
7,Sand City,638229.0,36.6171819,-121.8482855
8,Truckee,637991.0,39.327962,-120.1832533
9,Aliso Viejo,637743.0,33.5761376,-117.7258122
10,San Dimas,634217.0,34.1066756,-117.8067257
11,Camarillo,633337.0,34.2164099,-119.0376573
12,Discovery Bay,633014.0,37.914773999999994,-121.59400523623853
13,Bonsall,632314.0,33.276247999999995,-117.1996207741447
14,Moss Landing,629706.0,36.7988827,-121.7865811
15,Benicia,628462.0,38.049365,-122.1585777
16,Jenner,628439.0,38.4496365,-123.1155588
17,Marina,627007.0,36.6900986,-121.80062933026213
18,Nipomo,626655.0,35.035821600000006,-120.4964189159617
19,Anaheim,626512.0,33.8347516,-117.911732
20,Hollister,625471.0,36.8524545,-121.4016021
21,Rosemead,624609.0,34.0676169,-118.0879763
22,Loomis,622299.0,38.8212889,-121.1930041
23,Acton,621335.0,34.48074149999999,-118.1868378638664
24,Glendora,618716.0,34.1361187,-117.865339
25,Caspar,617686.0,39.363505,-123.815849
26,Farmington,616932.0,37.92664499999999,-120.98535915462384
27,Templeton,616266.0,35.5496939,-120.7060049
28,Lockwood,615181.0,35.9442155,-121.0818785
29,Ventura,613926.0,34.4458248,-119.0779359
30,East La Mirada,613787.0,33.9244577,-117.9889525
31,Buena Park,612345.0,33.870413,-117.9962165
32,Penryn,610683.0,38.8521217,-121.1693926
33,Watsonville,610459.0,36.9092773,-121.7529071
34,Lawndale,610349.0,33.8885217,-118.3531991
35,Buellton,610285.0,34.6134727,-120.1936692
36,Boulder Creek,609014.0,37.1260578,-122.1221869
37,Long Beach,606820.0,33.7690164,-118.1916048
38,Annapolis,605598.0,38.7218559,-123.3697306
39,Valley Center,605034.0,33.226192999999995,-117.0291299794908
40,Martinez,604565.0,38.0138934,-122.1338674
41,Oak View,603605.0,34.397629,-119.29989457464468
42,Lakewood,601925.0,33.8503463,-118.1171914
43,Kings Beach,601635.0,39.2362794,-120.0233622
44,Graton,601181.0,38.438618500000004,-122.86569767534337
45,Los Osos,600896.0,35.3107214,-120.8323487
46,La Mirada,600796.0,33.9060971,-118.0107092
47,Imperial Beach,599931.0,32.5839444,-117.1130849
48,Simi Valley,599622.0,34.2694474,-118.781482
49,San Marcos,598731.0,33.1433723,-117.1661449
50,Eastvale,598274.0,33.9766799,-117.5598444
51,El Sobrante,596962.0,37.9744635,-122.3057294030647
52,La Habra,594210.0,33.9330156,-117.944777
53,Downey,591834.0,33.942215,-118.1235646
54,Fallbrook,588384.0,33.3764196,-117.2511466
55,Cotati,586995.0,38.3266798,-122.7068441
56,Herald,586745.0,38.2957474,-121.2443919
57,Inglewood,584964.0,33.9562003,-118.353132
58,Tahoma,584459.0,39.0680072,-120.1320205
59,Santa Rosa,584441.0,38.4404925,-122.7141049
60,Emeryville,583129.0,37.8314089,-122.2865266
61,Artesia,580938.0,33.8690197,-118.0796195
62,Castaic,580437.0,34.4888822,-118.6228656
63,Pittsburg,579663.0,38.0181745,-121.8901232
64,Oakley,578538.0,37.9974219,-121.7124536
65,Gardena,578272.0,33.8963593,-118.3053037
66,La Mesa,577092.0,32.7678288,-117.0230839
67,West Covina,576643.0,34.0686208,-117.9389526
68,American Canyon,576236.0,38.223457,-122.22704307123536
69,Folsom,575448.0,38.6779591,-121.1760583
70,Santa Ana,573882.0,33.7494951,-117.8732213
71,Paicines,573812.0,36.7285708,-121.2785409
72,Tahoe Vista,572305.0,39.248688,-120.05190527610762
73,Upland,571057.0,34.09751,-117.6483876
74,Carson,568887.0,33.8322043,-118.2517547
75,Santa Clarita,567480.0,34.3916641,-118.542586
76,Acampo,567350.0,38.1746398,-121.2785588
77,Rescue,566167.0,38.7116667,-120.9513889
78,Norco,566054.0,33.9323307,-117.5508901
79,Avocado Heights,564948.0,34.0269825,-117.96543306543037
80,West Carson,564527.0,33.8216836,-118.2925722
81,Seaside,563817.0,36.6253775,-121.81728435938528
82,Montebello,562458.0,34.0159398,-118.111975
83,Los Alamos,559983.0,34.7379311,-120.26591046240952
84,Concord,559356.0,37.9768525,-122.0335624
85,Rohnert Park,558733.0,38.3396367,-122.7010984
86,Whittier,554863.0,33.9708782,-118.0308396
87,Cloverdale,554520.0,38.776218,-122.99300818666057
88,Sloughhouse,554249.0,38.4957417,-121.193836
89,Freedom,553364.0,36.9381642,-121.80205628180576
90,Chula Vista,552215.0,32.6400541,-117.0841955
91,Vista,551999.0,33.2000368,-117.2425355
92,Covina,551496.0,34.0877926,-117.8891164
93,Oceanside,550171.0,33.1958696,-117.3794834
94,Duarte,550103.0,34.1394513,-117.9772873
95,Kneeland,550049.0,40.7612425,-123.9947779
96,Pinole,544415.0,38.0043667,-122.2988587
97,San Juan Bautista,543529.0,36.8455173,-121.5379894
98,Ramona,543137.0,33.0417112,-116.8680821
99,Pauma Valley,542975.0,33.3033679,-116.9814167
100,Rancho Cucamonga,541613.0,34.1033192,-117.5751735
101,Escondido,539482.0,33.1216751,-117.0814849
102,West Athens,538676.0,33.9244007,-118.2972524
103,Atascadero,536411.0,35.4894169,-120.6707255
104,Bellflower,536265.0,33.8825705,-118.1167679
105,Forestville,536245.0,38.4833405,-122.86158427486583
106,Irwindale,535828.0,34.1069927,-117.9342148
107,Santee,533998.0,32.8383828,-116.9739167
108,South Whittier,532776.0,33.9435081,-118.0347827
109,Signal Hill,531739.0,33.804826,-118.168259
110,Grover Beach,530037.0,35.1209452,-120.6218376
111,Stanton,529672.0,33.79410005,-117.99510059728792
112,El Cajon,529368.0,32.7947731,-116.9625269
113,Clarksburg,529350.0,38.4204651,-121.5271772
114,Pilot Hill,528804.0,38.8182337,-121.029666
115,Lakeside,528043.0,32.85041,-116.89600133970856
116,Rancho Mirage,527418.0,33.763346,-116.4228596
117,Mira Loma,527370.0,33.9863913,-117.5227325
118,Richmond,525758.0,37.9357576,-122.3477486
119,Morada,524295.0,38.0414635,-121.24732701785715
120,Oxnard,524131.0,34.1976308,-119.1803818
121,Tracy,522323.0,37.7396513,-121.4252227
122,Castroville,521867.0,36.7657904,-121.758005
123,Valinda,521442.0,34.0384785,-117.93355898556877
124,Rocklin,519852.0,38.7907339,-121.2357828
125,Santa Fe Springs,519215.0,33.9480787,-118.0691499
126,Crows Landing,514996.0,37.3938244,-121.0715976
127,Linden,513340.0,38.0213005,-121.10551382169648
