,City,Median_Home_Price,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Del Rey Oaks,652483.0,36.5932934,-121.8349515,70,76,11,198,62,189,127,24,204,176
1,San Diego,652175.0,32.7174209,-117.1627714,219,189,15,247,249,224,275,148,235,233
2,Wilton,650138.0,38.4203098,-121.20636694174857,3,5,0,37,8,89,74,10,132,35
3,Windsor,644473.0,38.5471327,-122.8163802,39,59,2,189,84,127,189,30,157,103
4,Garden Grove,643528.0,33.7746292,-117.9463717,176,177,28,232,239,219,290,138,206,222
5,Alpine,642442.0,38.5893934,-119.8345013,2,0,1,5,2,1,6,0,1,2
6,Newcastle,638874.0,38.8740658,-121.1332806,26,56,2,192,40,107,130,34,125,70
7,Sand City,638229.0,36.6171819,-121.8482855,67,75,11,154,57,184,120,24,169,172
8,Truckee,637991.0,39.327962,-120.1832533,9,3,2,92,42,142,105,9,144,102
9,Aliso Viejo,637743.0,33.5761376,-117.7258122,80,168,16,245,133,212,220,138,191,118
10,San Dimas,634217.0,34.1066756,-117.8067257,65,202,14,236,112,182,236,50,179,96
11,Camarillo,633337.0,34.2164099,-119.0376573,53,88,8,179,37,159,196,50,215,121
12,Discovery Bay,633014.0,37.914773999999994,-121.59400523623853,12,8,4,99,13,97,119,16,159,21
13,Bonsall,632314.0,33.276247999999995,-117.1996207741447,41,66,2,169,46,117,135,32,132,78
14,Moss Landing,629706.0,36.7988827,-121.7865811,10,23,3,100,12,84,117,13,191,69
15,Benicia,628462.0,38.049365,-122.1585777,57,96,7,207,58,177,174,37,196,127
16,Jenner,628439.0,38.4496365,-123.1155588,20,2,1,65,9,58,23,0,68,41
17,Marina,627007.0,36.6900986,-121.80062933026213,65,94,9,225,55,152,162,43,222,158
18,Nipomo,626655.0,35.035821600000006,-120.4964189159617,23,21,5,139,18,89,130,11,175,63
19,Anaheim,626512.0,33.8347516,-117.911732,154,189,26,236,202,213,270,116,182,173
20,Hollister,625471.0,36.8524545,-121.4016021,7,9,2,56,11,40,82,5,170,15
21,Rosemead,624609.0,34.0676169,-118.0879763,164,113,18,240,243,227,248,86,194,167
22,Loomis,622299.0,38.8212889,-121.1930041,51,67,4,246,81,165,153,41,161,102
23,Acton,621335.0,34.48074149999999,-118.1868378638664,12,11,1,89,12,50,63,8,105,44
24,Glendora,618716.0,34.1361187,-117.865339,60,195,15,237,106,187,223,51,193,114
25,Caspar,617686.0,39.363505,-123.815849,14,11,2,73,10,51,56,5,148,63
26,Farmington,616932.0,37.92664499999999,-120.98535915462384,4,2,0,25,8,9,24,1,43,5
27,Templeton,616266.0,35.5496939,-120.7060049,19,6,7,113,46,75,155,6,201,71
28,Lockwood,615181.0,35.9442155,-121.0818785,2,1,0,6,1,4,10,0,5,5
29,Ventura,613926.0,34.4458248,-119.0779359,11,4,4,64,7,41,87,3,131,25
30,East La Mirada,613787.0,33.9244577,-117.9889525,136,165,26,230,190,224,267,80,189,170
31,Buena Park,612345.0,33.870413,-117.9962165,154,208,25,229,246,220,268,107,199,201
32,Penryn,610683.0,38.8521217,-121.1693926,53,85,3,247,68,152,196,53,221,120
33,Watsonville,610459.0,36.9092773,-121.7529071,14,13,4,74,15,77,91,6,80,63
34,Lawndale,610349.0,33.8885217,-118.3531991,134,165,12,243,172,233,292,111,215,225
35,Buellton,610285.0,34.6134727,-120.1936692,17,6,5,75,33,46,130,2,184,53
